,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
0,宇宙よりも遠い場所（TVアニメ動画）,2018年冬アニメ,4.2,https://img.anikore.jp/images/anime/3/9/3/11393/11393.jpg?width=122&height=122&type=crop,"いつだってボクらの一歩は好奇心から始まった。
見たことのない風景を、
聞いたことのない音を、
嗅いだことのない香りを、
触れたことのない質感を、
味わったことのない食物を、
そして感... ▼もっと読む"
1,からかい上手の高木さん（TVアニメ動画）,2018年冬アニメ,3.7,https://img.anikore.jp/images/anime/2/6/9/11269/11269.jpg?width=122&height=122&type=crop,コミックス累計250万部・”照れたら負け”のからかいラブコメディ 2018年1月放送スタート！ ▼もっと読む
2,月がきれい（TVアニメ動画）,2017年春アニメ,4.1,https://img.anikore.jp/images/anime/0/5/7/11057/11057.jpg?width=122&height=122&type=crop,キャッチコピーは「I love you をそう訳したのは、太宰だったか、漱石だったか……」で、中学3年で初めて同じクラスになって出会った水野茜と安曇小太郎の成長、周囲との関わり、思春期の恋などが... ▼もっと読む
3,Just Because！（TVアニメ動画）,2017年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/8/9/11289/11289.jpg?width=122&height=122&type=crop,"高校三年の冬。
残りわずかとなった高校生活。
このまま、なんとなく卒業していくのだと誰もが思っていた。
突然、彼が帰ってくるまでは。
中学の頃に一度は遠くの街へと引っ越した同級生。
季... ▼もっと読む"
4,恋は雨上がりのように（TVアニメ動画）,2018年冬アニメ,3.7,https://img.anikore.jp/images/anime/1/1/8/11118/11118.jpg?width=122&height=122&type=crop,ある事件がきっかけで走ることを諦めた元陸上部エースの女子高生・橘あきらと、彼女のバイト先のファミレス店長であるさえない45歳男性・近藤正己の恋物語が描かれる。 ▼もっと読む
5,ゆるキャン△（TVアニメ動画）,2018年冬アニメ,4.0,https://img.anikore.jp/images/anime/0/8/2/11082/11082.jpg?width=122&height=122&type=crop,1人でキャンプをするのが好きな女子・リンと、キャンプ初心者・なでしこの出会いからはじまるアウトドアコメディ。本格的なキャンプのノウハウをゆるく楽しげに描く。 ▼もっと読む
6,響け！ ユーフォニアム（TVアニメ動画）,2015年春アニメ,4.2,https://img.anikore.jp/images/anime/8/9/5/8895/8895.jpg?width=122&height=122&type=crop,"高校1年生の春。
中学時代に吹奏楽部だった黄前久美子は、クラスメイトの加藤葉月、川島緑輝とともに吹奏楽部の見学に行く。
そこで久美子は、かつての同級生・高坂麗奈の姿を見かける。
葉月と緑輝... ▼もっと読む"
7,氷菓（TVアニメ動画）,2012年春アニメ,4.1,https://img.anikore.jp/images/anime/5/4/7/3547/3547.jpg?width=122&height=122&type=crop,何事にも積極的に関わらない奉太郎が、姉の命令で入部させられた古典部で、部員の少女の叔父が関わった三十三年前に起きた事件の真相に迫る。省エネ少年と好奇心少女が繰り広げる青春ミステリー。 ▼もっと読む
8,さくら荘のペットな彼女（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/7/2/2/3722/3722.jpg?width=122&height=122&type=crop,学園の問題児の巣窟『さくら荘』に住む高校２年生の神田空太は、変人たちに振り回されながら、『脱・さくら荘!!』を誓う毎日。そんなある日、『さくら荘』に、可愛くて清楚で、しかも世界的な天才画家である... ▼もっと読む
9,3月のライオン 第2期（TVアニメ動画）,2017年秋アニメ,3.9,https://img.anikore.jp/images/anime/3/0/4/11304/11304.jpg?width=122&height=122&type=crop,"これは、様々な人間が
何かを取り戻していく、優しい物語。
そして、戦いの物語。

主人公・桐山零は、幼い頃に事故で家族を失い、
心に深い孤独を負う17歳のプロの将棋棋士。
東京の下町... ▼もっと読む"
10,四月は君の嘘（TVアニメ動画）,2014年秋アニメ,4.3,https://img.anikore.jp/images/anime/9/1/3/7913/7913.jpg?width=122&height=122&type=crop,"母の死をきっかけにピアノが弾けなくなった元天才少年・有馬公生。モノクロームだった彼の日常は、一人のヴァイオリニストとの出逢いから色付き始める。
傍若無人、喧嘩上等、でも個性あふれる演奏家・宮園... ▼もっと読む"
11,ダーリン・イン・ザ・フランキス（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/3/9/5/11395/11395.jpg?width=122&height=122&type=crop,遠い未来。人類が荒廃した地上で生き抜くために作り上げた巨大移動要塞都市では、名前のないコドモたちが戦うことだけを教え込まれながら、毎日を過ごしていた。コドモたちの1人であるヒロは、角が生えた謎の... ▼もっと読む
12,ボールルームへようこそ（TVアニメ動画）,2017年夏アニメ,3.9,https://img.anikore.jp/images/anime/0/3/7/11037/11037.jpg?width=122&height=122&type=crop,"やりたい事もなく、進路に悩む中学3年生・富士田多々良はある出来事をきっかけに現役のプロダンサー仙石要と出会う。

仙石に連れられ、小笠原ダンススタジオへ足を踏み入れた多々良は、初めて社交ダン... ▼もっと読む"
13,坂道のアポロン（TVアニメ動画）,2012年春アニメ,4.0,https://img.anikore.jp/images/anime/5/9/5/3595/3595.jpg?width=122&height=122&type=crop,"1966年初夏、船乗りの父親の仕事の都合で、横須賀から長崎県の田舎町へ転校してきた一人のナイーブな少年・薫。
転校初日、バンカラな男・千太郎との出会いのおかげで、薫の高校生活は思わぬ方向へ変化... ▼もっと読む"
14,魔法陣グルグル (2017)（TVアニメ動画）,2017年夏アニメ,3.8,https://img.anikore.jp/images/anime/0/7/7/11077/11077.jpg?width=122&height=122&type=crop,"1992年に月刊少年ガンガンで連載を開始、
1994年、2000年に続き、連載25周年を記念して3度目のテレビアニメ化！


魔王を倒す勇者を募るというお触れを見た勇者マニアの
父と母... ▼もっと読む"
15,多田くんは恋をしない（TVアニメ動画）,2018年春アニメ,3.1,https://img.anikore.jp/images/anime/4/5/2/11452/11452.jpg?width=122&height=122&type=crop,カメラを手に、満開の桜の写真を撮りにきていた光良は、異国から日本にやってきたばかりだという少女テレサに出会う。日本に着いて早々に、連れとはぐれてしまい、迷子になっていた彼女を助けることになった光... ▼もっと読む
