,TITLE,ANIME_TITLE,IMAGE,AUDIO
0,サタデー・ナイト・クエスチョン,ネト充のススメ　OP,http://is3.mzstatic.com/image/thumb/Music128/v4/63/aa/8a/63aa8ab0-e56d-13c6-170c-a227c1ae52fc/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview118/v4/5a/96/e8/5a96e8da-fd82-51e0-daeb-41cdef901639/mzaf_7018480984064806468.plus.aac.p.m4a
1,Zoetrope,AMNESIA　OP,http://is5.mzstatic.com/image/thumb/Music/v4/70/94/54/709454c6-20ed-caa6-863d-5536c3440cfa/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/82/57/c2/8257c2bb-04d4-47e1-409a-52035568e5a1/mzaf_2912931154763253678.plus.aac.p.m4a
2,X.U.,終わりのセラフ OP,http://is1.mzstatic.com/image/thumb/Music5/v4/25/64/5b/25645b27-3085-ba73-c17e-3b85e4d32e90/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music1/v4/1b/4c/9b/1b4c9b82-54de-7b4e-912d-a7eb4797b4bb/mzaf_2386483229856971098.plus.aac.p.m4a
3,All Alone With You,PSYCHO-PASS サイコパス ED,http://is3.mzstatic.com/image/thumb/Music2/v4/de/5e/62/de5e6251-0b2c-3c7f-55f2-77f59653c29d/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/73/1c/88/731c889f-2bc3-4274-a4f7-6356c126a729/mzaf_3015735458188356356.plus.aac.p.m4a
4,More One Night,少女終末旅行 ED,http://is4.mzstatic.com/image/thumb/Music128/v4/2a/68/1e/2a681e98-7aec-fd25-d6e6-a76d1fa50ac1/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/23/2b/2f/232b2f26-18af-a12b-1e54-81fffc9efa5a/mzaf_2251336773073529548.plus.aac.p.m4a
5,君へ,中二病でも恋がしたい! Lite　OP,http://is1.mzstatic.com/image/thumb/Music/v4/58/8d/77/588d7724-1ff7-c59b-c7f1-7ebe6e6528ef/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/49/c3/89/49c38938-c6e0-c3d2-db83-90f3fc78e205/mzaf_6846284633271545381.plus.aac.p.m4a
6,tune the rainbow,ラーゼフォン 多元変奏曲 ED,http://is4.mzstatic.com/image/thumb/Music/v4/23/d2/3f/23d23fa4-7616-083d-eb53-107169c5b45e/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/3b/f9/7e/mzi.xyocizaz.aac.p.m4a
7,Red fraction,BLACK LAGOON OP,http://is4.mzstatic.com/image/thumb/Music/v4/e0/16/d9/e016d9c6-34e9-7b83-9a75-4fd57ad420de/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/bf/a3/ca/bfa3cabd-fd36-349f-a646-36dceace80e8/mzaf_4165281848626733249.plus.aac.p.m4a
8,ビードロ模様,あの夏で待ってる ED,http://is3.mzstatic.com/image/thumb/Music/v4/2f/4f/93/2f4f931c-c480-2d67-5782-6d54fc096bad/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music2/v4/b6/84/33/b68433ee-3ca5-7418-7b45-660e7d2ce820/mzaf_2058959533705163419.plus.aac.p.m4a
9,Harvest,灰と幻影のグリムガル ED,http://is1.mzstatic.com/image/thumb/Music69/v4/16/d3/db/16d3dbe4-f8fa-73eb-666b-8c9ab48143aa/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music69/v4/6f/01/76/6f017675-b14c-cb5d-0ee5-a34122d7649e/mzaf_6814608188678491631.plus.aac.p.m4a
10,"My Soul, Your Beats!",Angel Beats! OP,http://is1.mzstatic.com/image/thumb/Music/v4/61/e9/ec/61e9ecf8-9780-1ff3-8d10-d2c967960a66/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/98/58/23/9858237f-1820-df1c-c1c1-88793d526977/mzaf_3764980862259014239.plus.aac.p.m4a
11,Brightdown,D.Gray-man OP,http://is5.mzstatic.com/image/thumb/Music4/v4/00/bc/38/00bc3871-a473-314d-8fab-50e3252907b7/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/4c/88/5e/4c885e83-e104-bc0c-758c-85c62eb7a38b/mzaf_9051937245895685537.plus.aac.p.m4a
12,アンインストール,ぼくらの OP,http://is3.mzstatic.com/image/thumb/Music/v4/03/af/88/03af88ff-2b60-606b-8e36-04efd501cbfe/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/a8/d9/e7/a8d9e7e9-33bd-2cf7-1aaa-8d0864d3e5ef/mzaf_872140362012282245.plus.aac.p.m4a
13,コンプリケイション,デュラララ!! OP,http://is2.mzstatic.com/image/thumb/Music2/v4/e9/de/ec/e9deec69-938e-389b-d780-11eecfba0fca/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music6/v4/39/4c/a2/394ca2fb-679e-69be-8b9c-b814a522ed5d/mzaf_4184922457206377452.plus.aac.p.m4a
14,gravityWall,Re:CREATORS OP,http://is2.mzstatic.com/image/thumb/Music117/v4/c8/23/27/c823275f-e118-02db-be84-2722d27f6b05/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview117/v4/fd/2f/0f/fd2f0f29-7809-93f1-f622-f092ca2c2389/mzaf_5668092047998056723.plus.aac.p.m4a
15,ninelie,甲鉄城のカバネリ ED,http://is5.mzstatic.com/image/thumb/Music49/v4/5b/d3/65/5bd36565-f81a-fecd-b577-bbb5806b66d2/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview20/v4/23/97/c2/2397c239-9833-36f7-5402-17faadd8d2a1/mzaf_4259995779286552032.plus.aac.p.m4a
