,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
0,だがしかし2（TVアニメ動画）,2018年冬アニメ,3.5,https://img.anikore.jp/images/anime/3/0/7/11307/11307.jpg?width=122&height=122&type=crop,詳細不明 ▼もっと読む
1,三ツ星カラーズ（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/1/3/7/11137/11137.jpg?width=122&height=122&type=crop,上野の平和を守るため、朝から夕方まで街を駆け回る小学生3人娘・カラーズの活躍が描かれる。 ▼もっと読む
2,ラーメン大好き小泉さん（TVアニメ動画）,2018年冬アニメ,3.4,https://img.anikore.jp/images/anime/2/2/7/11227/11227.jpg?width=122&height=122&type=crop,"今日もどこかで、彼女はラーメンを食べているー
クールで無口な美人女子高生の小泉さんは毎日おいしいラーメンを求めて食べ歩く生粋の“ラーメン通”だった。
小泉さんはラーメン以外のことには興味がな... ▼もっと読む"
3,この素晴らしい世界に祝福を！ 第2期（TVアニメ動画）,2017年冬アニメ,3.9,https://img.anikore.jp/images/anime/5/2/3/10523/10523.jpg?width=122&height=122&type=crop,不慮の事故により異世界に転生した、ゲームを愛するひきこもり・佐藤和真（カズマ）は、「RPGゲームのような異世界で、憧れの冒険者生活エンジョイ！めざせ勇者！」という夢はイマイチ叶わないものの、なん... ▼もっと読む
4,おそ松さん 第2期（TVアニメ動画）,2017年秋アニメ,3.3,https://img.anikore.jp/images/anime/3/0/5/11305/11305.jpg?width=122&height=122&type=crop,"2016年に幕を下ろしたTVアニメ、“おそ松さん”が戻ってくる!!
波乱を呼んだ第一期終了から時は経ち、イヤミとチビ太が目にしたものは…
はたして前回を反省し、6つ子たちはちゃんとできている... ▼もっと読む"
5,月刊少女野崎くん（TVアニメ動画）,2014年夏アニメ,4.1,https://img.anikore.jp/images/anime/9/9/2/7992/7992.jpg?width=122&height=122&type=crop,無骨な男子高校生の野崎梅太郎に恋をした女子高校生の佐倉千代は、ある日、勇気を振り絞って告白するのだが、想いは上手く伝わらず、気が付くと彼のとあるお仕事をアシスタントとして手伝うことに…。男子高校... ▼もっと読む
6,僕らはみんな河合荘（TVアニメ動画）,2014年春アニメ,3.9,https://img.anikore.jp/images/anime/8/6/6/7866/7866.jpg?width=122&height=122&type=crop,親の転勤で「一人暮らし」をすることとなった男子高校生・宇佐は「河合荘」という賄い(食事)付の下宿に住むこととなった。そこには彼にとって憧れの先輩である女子高生・律も住んでおり、宇... ▼もっと読む
7,干物妹！うまるちゃん（TVアニメ動画）,2015年夏アニメ,3.8,https://img.anikore.jp/images/anime/9/1/1/8911/8911.jpg?width=122&height=122&type=crop,"容姿端麗！文武両道！誰もが羨む美妹（びもうと）には、ある秘密があった…。
妹に手厚いYJが新たな妹像の創出に挑む！新解釈・兄妹コメディ♥
内弁慶の外美人！チグハグギャップな妹ライフ此処に... ▼もっと読む"
8,ガヴリールドロップアウト（TVアニメ動画）,2017年冬アニメ,3.7,https://img.anikore.jp/images/anime/8/1/4/10814/10814.jpg?width=122&height=122&type=crop,天使学校を首席で卒業した優等生のガヴリール・ホワイトが、下界で人間の学校に通いながら修業するはずだったのに、ネットゲームに夢中になり、歩くのも面倒くさがるなど自堕落な生活を送る……というコメディー。 ▼もっと読む
9,ブレンド・S（TVアニメ動画）,2017年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/2/2/11222/11222.jpg?width=122&height=122&type=crop,"ツンデレ・妹などなど、店員さんのいろんな「属性」が楽しめる喫茶店で、新人アルバイトの苺香（まいか）が店長にリクエストされたのはなんと「ドＳ」キャラ!?
一生懸命働くうちに、意外と「ドＳ」の才能... ▼もっと読む"
10,学園ベビーシッターズ（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/4/9/0/11490/11490.jpg?width=122&height=122&type=crop,両親を飛行機事故で亡くした竜一＆虎太郎兄弟。そんな二人を引き取ったのが、同じ事故で息子夫婦を亡くした森ノ宮学園の理事長だった。でもその条件は、学園内に設けられた保育ルームで竜一がベビーシッターを... ▼もっと読む
11,小林さんちのメイドラゴン（TVアニメ動画）,2017年冬アニメ,3.9,https://img.anikore.jp/images/anime/6/7/5/10675/10675.jpg?width=122&height=122&type=crop,"朝、会社に出ようとしたらドラゴンがいた。
茫然とする小林さんの目の前で、そのドラゴンは角あり尻尾ありのメイド服を着た美少女へと変身した。
トールと名乗るそのドラゴン娘は「今日からメイドとして... ▼もっと読む"
12,オーバーロード ちびキャラアニメ「ぷれぷれぷれあです2」（TVアニメ動画）,2018年冬アニメ,3.3,https://img.anikore.jp/images/anime/5/3/9/11539/11539.jpg?width=122&height=122&type=crop,TVアニメ「オーバーロードⅡ」の放送開始に合わせて、ちびキャラアニメ「ぷれぷれぷれあです」も待望の続編がスタート！ ▼もっと読む
13,はたらく魔王さま！（TVアニメ動画）,2013年春アニメ,3.9,https://img.anikore.jp/images/anime/0/0/4/4004/4004.jpg?width=122&height=122&type=crop,"「はたらく魔王さま！」は勇者に敗れ、異世界エンテ・イスラから現代日本の東京にやっていき魔王サタンが、日本経済の荒波にもまれながらフリーターとして働く庶民派ファンタジー。
魔王を追って日本にやっ... ▼もっと読む"
14,この素晴らしい世界に祝福を！（TVアニメ動画）,2016年冬アニメ,3.9,https://img.anikore.jp/images/anime/7/2/9/9729/9729.jpg?width=122&height=122&type=crop,"ゲームをこよなく愛するひきこもり・佐藤和真（カズマ）の人生は、交通事故（!?）によりあっけなく幕を閉じた……はずだった。
だが、目を覚ますと女神を名乗る美少女・アクアは告げる。

「ねぇ、... ▼もっと読む"
15,アホガール（TVアニメ動画）,2017年夏アニメ,3.6,https://img.anikore.jp/images/anime/0/7/6/11076/11076.jpg?width=122&height=122&type=crop,幼なじみのあっくんが大好きで主食はバナナ、とにもかくにもアホすぎる女子高生・花畑よしこ。なんだかんだと面倒見がいい、と思いきやそうでもない、よしこの幼なじみ・阿久津明（あくつ・あくる＝あっくん）... ▼もっと読む
