,TITLE,SEASON,REVIEW_RANK,IMAGE
0,ヴァイオレット・エヴァーガーデン（TVアニメ動画）,2018年冬アニメ,4.0,https://img.anikore.jp/images/anime/7/2/3/10723/10723.jpg?width=122&height=122&type=crop
1,宇宙よりも遠い場所（TVアニメ動画）,2018年冬アニメ,4.2,https://img.anikore.jp/images/anime/3/9/3/11393/11393.jpg?width=122&height=122&type=crop
2,メイドインアビス（TVアニメ動画）,2017年夏アニメ,4.2,https://img.anikore.jp/images/anime/0/3/5/11035/11035.jpg?width=122&height=122&type=crop
3,3月のライオン 第2期（TVアニメ動画）,2017年秋アニメ,3.9,https://img.anikore.jp/images/anime/3/0/4/11304/11304.jpg?width=122&height=122&type=crop
4,CLANNAD AFTER STORY-クラナド アフターストーリー（TVアニメ動画）,2008年秋アニメ,4.4,https://img.anikore.jp/images/anime/2/3/6/1236/1236.jpg?width=122&height=122&type=crop
5,さくら荘のペットな彼女（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/7/2/2/3722/3722.jpg?width=122&height=122&type=crop
6,いぬやしき（TVアニメ動画）,2017年秋アニメ,3.6,https://img.anikore.jp/images/anime/0/0/9/11009/11009.jpg?width=122&height=122&type=crop
7,STEINS；GATE [シュタインズ・ゲート]（TVアニメ動画）,2011年春アニメ,4.4,https://img.anikore.jp/images/anime/2/8/2/2282/2282.jpg?width=122&height=122&type=crop
8,あの日見た花の名前を僕達はまだ知らない。（TVアニメ動画）,2011年春アニメ,4.2,https://img.anikore.jp/images/anime/8/2/4/2824/2824.jpg?width=122&height=122&type=crop
9,四月は君の嘘（TVアニメ動画）,2014年秋アニメ,4.3,https://img.anikore.jp/images/anime/9/1/3/7913/7913.jpg?width=122&height=122&type=crop
10,響け！ユーフォニアム2（TVアニメ動画）,2016年秋アニメ,4.2,https://img.anikore.jp/images/anime/6/6/8/10668/10668.jpg?width=122&height=122&type=crop
11,月がきれい（TVアニメ動画）,2017年春アニメ,4.1,https://img.anikore.jp/images/anime/0/5/7/11057/11057.jpg?width=122&height=122&type=crop
12,ちはやふる2（TVアニメ動画）,2013年冬アニメ,4.2,https://img.anikore.jp/images/anime/7/7/8/3778/3778.jpg?width=122&height=122&type=crop
13,暗殺教室（TVアニメ動画）,2015年冬アニメ,3.7,https://img.anikore.jp/images/anime/0/6/5/8065/8065.jpg?width=122&height=122&type=crop
14,夏目友人帳 陸（TVアニメ動画）,2017年春アニメ,3.9,https://img.anikore.jp/images/anime/0/3/4/11034/11034.jpg?width=122&height=122&type=crop
15,このはな綺譚（TVアニメ動画）,2017年秋アニメ,3.8,https://img.anikore.jp/images/anime/1/5/6/11156/11156.jpg?width=122&height=122&type=crop
16,恋は雨上がりのように（TVアニメ動画）,2018年冬アニメ,3.7,https://img.anikore.jp/images/anime/1/1/8/11118/11118.jpg?width=122&height=122&type=crop
17,とらドラ！（TVアニメ動画）,2008年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/2/1232/1232.jpg?width=122&height=122&type=crop
18,プラネテス - ΠΛΑΝΗΤΕΣ（TVアニメ動画）,2003年秋アニメ,4.0,https://img.anikore.jp/51X%2ByLUDoVL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
19,ひぐらしのなく頃に解（TVアニメ動画）,2007年夏アニメ,4.0,https://img.anikore.jp/510LBWDD2yL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
20,坂道のアポロン（TVアニメ動画）,2012年春アニメ,4.0,https://img.anikore.jp/images/anime/5/9/5/3595/3595.jpg?width=122&height=122&type=crop
21,うたわれるもの（TVアニメ動画）,2006年春アニメ,3.9,https://img.anikore.jp/51-FyeQjQiL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
22,ユーリ！！！ on ICE（TVアニメ動画）,2016年秋アニメ,3.9,https://img.anikore.jp/images/anime/5/7/6/10576/10576.jpg?width=122&height=122&type=crop
23,宝石の国（TVアニメ動画）,2017年秋アニメ,3.9,https://img.anikore.jp/images/anime/2/1/8/11218/11218.jpg?width=122&height=122&type=crop
24,planetarian ～ちいさなほしのゆめ～（Webアニメ）,2016年7月7日,3.8,https://img.anikore.jp/images/anime/6/0/3/10603/10603.jpg?width=122&height=122&type=crop
25,学園ベビーシッターズ（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/4/9/0/11490/11490.jpg?width=122&height=122&type=crop
26,凪のあすから（TVアニメ動画）,2013年秋アニメ,4.2,https://img.anikore.jp/images/anime/9/1/9/3919/3919.jpg?width=122&height=122&type=crop
27,夏目友人帳（TVアニメ動画）,2008年夏アニメ,4.1,https://img.anikore.jp/images/anime/2/2/2/1222/1222.jpg?width=122&height=122&type=crop
28,とある科学の超電磁砲S（TVアニメ動画）,2013年春アニメ,4.0,https://img.anikore.jp/images/anime/0/1/2/4012/4012.jpg?width=122&height=122&type=crop
29,ゼロの使い魔（TVアニメ動画）,2006年夏アニメ,3.8,https://img.anikore.jp/images/anime/9/2/0/920/920.jpg?width=122&height=122&type=crop
30,ちはやふる（TVアニメ動画）,2011年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/1/3231/3231.jpg?width=122&height=122&type=crop
31,うさぎドロップ（TVアニメ動画）,2011年夏アニメ,4.0,https://img.anikore.jp/images/anime/8/5/6/2856/2856.jpg?width=122&height=122&type=crop
32,東京マグニチュード8.0（TVアニメ動画）,2009年夏アニメ,3.8,https://img.anikore.jp/51l8u3RfExL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
