,TITLE,SEASON,REVIEW_RANK,IMAGE
0,宇宙よりも遠い場所（TVアニメ動画）,2018年冬アニメ,4.2,https://img.anikore.jp/images/anime/3/9/3/11393/11393.jpg?width=122&height=122&type=crop
1,STEINS；GATE [シュタインズ・ゲート]（TVアニメ動画）,2011年春アニメ,4.4,https://img.anikore.jp/images/anime/2/8/2/2282/2282.jpg?width=122&height=122&type=crop
2,四月は君の嘘（TVアニメ動画）,2014年秋アニメ,4.3,https://img.anikore.jp/images/anime/9/1/3/7913/7913.jpg?width=122&height=122&type=crop
3,ヴァイオレット・エヴァーガーデン（TVアニメ動画）,2018年冬アニメ,4.0,https://img.anikore.jp/images/anime/7/2/3/10723/10723.jpg?width=122&height=122&type=crop
4,宝石の国（TVアニメ動画）,2017年秋アニメ,3.9,https://img.anikore.jp/images/anime/2/1/8/11218/11218.jpg?width=122&height=122&type=crop
5,メイドインアビス（TVアニメ動画）,2017年夏アニメ,4.2,https://img.anikore.jp/images/anime/0/3/5/11035/11035.jpg?width=122&height=122&type=crop
6,オーバーロード[OVERLORD]（TVアニメ動画）,2015年夏アニメ,3.9,https://img.anikore.jp/images/anime/3/7/4/9374/9374.jpg?width=122&height=122&type=crop
7,花咲くいろは（TVアニメ動画）,2011年春アニメ,4.1,https://img.anikore.jp/images/anime/4/1/4/2414/2414.jpg?width=122&height=122&type=crop
8,Re：ゼロから始める異世界生活（TVアニメ動画）,2016年春アニメ,4.0,https://img.anikore.jp/images/anime/0/1/3/10013/10013.jpg?width=122&height=122&type=crop
9,氷菓（TVアニメ動画）,2012年春アニメ,4.1,https://img.anikore.jp/images/anime/5/4/7/3547/3547.jpg?width=122&height=122&type=crop
10,僕だけがいない街（TVアニメ動画）,2016年冬アニメ,4.0,https://img.anikore.jp/images/anime/8/6/1/9861/9861.jpg?width=122&height=122&type=crop
11,からかい上手の高木さん（TVアニメ動画）,2018年冬アニメ,3.7,https://img.anikore.jp/images/anime/2/6/9/11269/11269.jpg?width=122&height=122&type=crop
12,ガールズ&パンツァー（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/7/7/2/3772/3772.jpg?width=122&height=122&type=crop
13,僕らはみんな河合荘（TVアニメ動画）,2014年春アニメ,3.9,https://img.anikore.jp/images/anime/8/6/6/7866/7866.jpg?width=122&height=122&type=crop
