,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
0,ゆるキャン△（TVアニメ動画）,2018年冬アニメ,4.0,https://img.anikore.jp/images/anime/0/8/2/11082/11082.jpg?width=122&height=122&type=crop,1人でキャンプをするのが好きな女子・リンと、キャンプ初心者・なでしこの出会いからはじまるアウトドアコメディ。本格的なキャンプのノウハウをゆるく楽しげに描く。 ▼もっと読む
1,エロマンガ先生（TVアニメ動画）,2017年春アニメ,3.7,https://img.anikore.jp/images/anime/5/1/3/10513/10513.jpg?width=122&height=122&type=crop,"高校生兼ライトノベル作家である主人公和泉正宗には、引きこもりの妹和泉紗霧がいる。一年前に二人は兄妹となったのだが、妹はまったく部屋から出てこないほど徹底した引きこもりである。

ある日和泉正... ▼もっと読む"
2,この素晴らしい世界に祝福を！ 第2期（TVアニメ動画）,2017年冬アニメ,3.9,https://img.anikore.jp/images/anime/5/2/3/10523/10523.jpg?width=122&height=122&type=crop,不慮の事故により異世界に転生した、ゲームを愛するひきこもり・佐藤和真（カズマ）は、「RPGゲームのような異世界で、憧れの冒険者生活エンジョイ！めざせ勇者！」という夢はイマイチ叶わないものの、なん... ▼もっと読む
3,ガヴリールドロップアウト（TVアニメ動画）,2017年冬アニメ,3.7,https://img.anikore.jp/images/anime/8/1/4/10814/10814.jpg?width=122&height=122&type=crop,天使学校を首席で卒業した優等生のガヴリール・ホワイトが、下界で人間の学校に通いながら修業するはずだったのに、ネットゲームに夢中になり、歩くのも面倒くさがるなど自堕落な生活を送る……というコメディー。 ▼もっと読む
4,冴えない彼女の育てかた♭（TVアニメ動画）,2017年春アニメ,3.8,https://img.anikore.jp/images/anime/6/0/8/9608/9608.jpg?width=122&height=122&type=crop,オタク高校生の「安芸倫也」は桜舞い散る坂道で、ある少女と運命的な出会いをする。インスピレーションを受けた倫也は、その少女をメインヒロインにしたギャルゲーの制作を思いつき、同学年の美術部エース「澤... ▼もっと読む
5,小林さんちのメイドラゴン（TVアニメ動画）,2017年冬アニメ,3.9,https://img.anikore.jp/images/anime/6/7/5/10675/10675.jpg?width=122&height=122&type=crop,"朝、会社に出ようとしたらドラゴンがいた。
茫然とする小林さんの目の前で、そのドラゴンは角あり尻尾ありのメイド服を着た美少女へと変身した。
トールと名乗るそのドラゴン娘は「今日からメイドとして... ▼もっと読む"
6,プリンセス・プリンシパル（TVアニメ動画）,2017年夏アニメ,4.0,https://img.anikore.jp/images/anime/1/5/4/11154/11154.jpg?width=122&height=122&type=crop,舞台は19世紀末、巨大な壁で東西に分断されたアルビオン王国の首都ロンドン。伝統と格式ある名門、クイーンズ・メイフェア校には、５人の少女たちが在籍していた。彼女たちは女子高校生を隠れ蓑に、スパイ活... ▼もっと読む
7,スロウスタート（TVアニメ動画）,2018年冬アニメ,3.5,https://img.anikore.jp/images/anime/3/6/7/11367/11367.jpg?width=122&height=122&type=crop,この春から高校一年生になる、人見知りな女の子、一之瀬花名。彼女はとある理由から都会の両親のもとを離れ、いとこの志温が管理人を務めるアパート“てまりハイツ”で暮らしている。新しい高校、新しい毎日の... ▼もっと読む
8,織田信奈の野望（TVアニメ動画）,2012年夏アニメ,3.9,https://img.anikore.jp/images/anime/7/4/5/3745/3745.jpg?width=122&height=122&type=crop,平凡な男子高校生、相良良晴が突然400年前の日本にタイムスリップ！そこは血を血で洗う戦国時代だった……が、ちょっと雰囲気が違う？？そんな乱世で良晴が出会った一人の美少女、その子の名は「織田信奈」... ▼もっと読む
9,ご注文はうさぎですか？（TVアニメ動画）,2014年春アニメ,3.9,https://img.anikore.jp/images/anime/8/7/0/7870/7870.jpg?width=122&height=122&type=crop,高校入学を機に木組みの家と石畳の街に引っ越してきたココア。下宿先を探して道に迷う途中、ラビットハウスという名の喫茶店を発見する。その名前からうさぎだらけの喫茶店に違いないと思い店に入ると、そこに... ▼もっと読む
