,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
0,宇宙よりも遠い場所（TVアニメ動画）,2018年冬アニメ,4.2,https://img.anikore.jp/images/anime/3/9/3/11393/11393.jpg?width=122&height=122&type=crop,"いつだってボクらの一歩は好奇心から始まった。
見たことのない風景を、
聞いたことのない音を、
嗅いだことのない香りを、
触れたことのない質感を、
味わったことのない食物を、
そして感... ▼もっと読む"
1,ヴァイオレット・エヴァーガーデン（TVアニメ動画）,2018年冬アニメ,4.0,https://img.anikore.jp/images/anime/7/2/3/10723/10723.jpg?width=122&height=122&type=crop,"感情を持たない一人の少女がいた。
彼女の名は、ヴァイオレット・エヴァーガーデン。
戦火の中で、大切な人から告げられた言葉の意味を探している。
戦争が終わり、彼女が出会った仕事は誰かの想いを... ▼もっと読む"
2,STEINS；GATE [シュタインズ・ゲート]（TVアニメ動画）,2011年春アニメ,4.4,https://img.anikore.jp/images/anime/2/8/2/2282/2282.jpg?width=122&height=122&type=crop,舞台は「ニュージェネレーションの狂気」による渋谷崩壊から1年後の秋葉原。秋葉原を拠点とする総勢3人の小さな発明サークル「未来ガジェット研究所」のリーダーで、厨二病から抜け出せない大学生の岡部倫太... ▼もっと読む
3,四月は君の嘘（TVアニメ動画）,2014年秋アニメ,4.3,https://img.anikore.jp/images/anime/9/1/3/7913/7913.jpg?width=122&height=122&type=crop,"母の死をきっかけにピアノが弾けなくなった元天才少年・有馬公生。モノクロームだった彼の日常は、一人のヴァイオリニストとの出逢いから色付き始める。
傍若無人、喧嘩上等、でも個性あふれる演奏家・宮園... ▼もっと読む"
4,CLANNAD AFTER STORY-クラナド アフターストーリー（TVアニメ動画）,2008年秋アニメ,4.4,https://img.anikore.jp/images/anime/2/3/6/1236/1236.jpg?width=122&height=122&type=crop,『CLANNAD ～AFTER STORY～』は、「CLANNAD -クラナド-」の第2期シリーズ。「世界の終わりは悲しい色に満ちていた」あの感動のストーリーが再び――。制作は第一期に引き続き京... ▼もっと読む
5,あの日見た花の名前を僕達はまだ知らない。（TVアニメ動画）,2011年春アニメ,4.2,https://img.anikore.jp/images/anime/8/2/4/2824/2824.jpg?width=122&height=122&type=crop,昔は仲良しだった幼馴染たち。でも、高校生になった彼らの距離はいつの間にか離れてしまっていた。ヒキコモリぎみの主人公“じんたん”。ギャル友達に流され気味の“あなる”。進学校に通う“ゆきあつ”と“つ... ▼もっと読む
6,プラスティック・メモリーズ（TVアニメ動画）,2015年春アニメ,3.9,https://img.anikore.jp/images/anime/3/1/6/8316/8316.jpg?width=122&height=122&type=crop,人間とほぼ見た目の変わらない人型アンドロイドが世界中に普及した、ちょっぴり未来の世界。アンドロイド製造メーカーＳＡＩ社が開発した「ギフティア」は、とても感情豊かで、今までにない人間らしさを持った... ▼もっと読む
7,Angel Beats！-エンジェルビーツ！（TVアニメ動画）,2010年春アニメ,4.2,https://img.anikore.jp/518jy9bz2CL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,森に囲まれた丘陵地にある、生徒総数2000名を越える全寮制のとある学園。一見するとごく普通の生徒らが生活を送っている学園だが、そこは死後の世界だった。現世で理不尽な人生を体験し、青春時代をまとも... ▼もっと読む
8,ダーリン・イン・ザ・フランキス（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/3/9/5/11395/11395.jpg?width=122&height=122&type=crop,遠い未来。人類が荒廃した地上で生き抜くために作り上げた巨大移動要塞都市では、名前のないコドモたちが戦うことだけを教え込まれながら、毎日を過ごしていた。コドモたちの1人であるヒロは、角が生えた謎の... ▼もっと読む
9,終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？（TVアニメ動画）,2017年春アニメ,3.7,https://img.anikore.jp/images/anime/7/9/0/10790/10790.jpg?width=122&height=122&type=crop,《人間》は規格外の《獣》に蹂躙され、滅びた。たったひとり、数百年の眠りから覚めた青年ヴィレムを除いて。《人間》に代わり《獣》を倒しうるのは、《聖剣》（カリヨン）と、それを扱う妖精兵のみ。戦いのの... ▼もっと読む
10,さくら荘のペットな彼女（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/7/2/2/3722/3722.jpg?width=122&height=122&type=crop,学園の問題児の巣窟『さくら荘』に住む高校２年生の神田空太は、変人たちに振り回されながら、『脱・さくら荘!!』を誓う毎日。そんなある日、『さくら荘』に、可愛くて清楚で、しかも世界的な天才画家である... ▼もっと読む
11,君に届け（TVアニメ動画）,2009年秋アニメ,4.0,https://img.anikore.jp/51KyAWAWLrL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"陰気な容姿のせいで霊感があると恐れられ、「貞子」というあだながついている黒沼爽子。
周囲に避けられることに慣れてしまっていた爽子は、わけへだてなく接してくれるサワヤカさ100%の少年、風早翔太... ▼もっと読む"
12,けいおん！！ 2期（TVアニメ動画）,2010年春アニメ,4.3,https://img.anikore.jp/5125dZbJFmL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,高校1年生の春に、軽音部に入学した楽器初心者の平沢唯。部長の田井中律、恥ずかしがり屋の秋山澪、おっとりした琴吹紬の3人とともに、普段の部室でのお茶を中心に、合宿、学園祭、クリスマスと楽しい日々を... ▼もっと読む
13,東京マグニチュード8.0（TVアニメ動画）,2009年夏アニメ,3.8,https://img.anikore.jp/51l8u3RfExL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,中学1年生の小野沢未来は弟の悠貴のお守りとして一緒に東京のお台場へロボット展を見に来ていた。その最中、東京にM8.0の海溝型大地震が発生、連絡橋は崩壊し、東京タワーが倒壊するなど、東京は大きな被... ▼もっと読む
14,SHIROBAKO（TVアニメ動画）,2014年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/3/8233/8233.jpg?width=122&height=122&type=crop,"水島努とP.A.WORKSによる新作オリジナルTVアニメ。

5人の夢を追う女の子を中心に白箱（関係者に配られる完成したアニメ作品が収録されたVHSやDVD）の完成を目指し奮闘するアニメ業界... ▼もっと読む"
15,ef - a tale of memories.エフ・アテールオブメモリーズ（TVアニメ動画）,2007年秋アニメ,4.0,https://img.anikore.jp/images/anime/1/0/9/1109/1109.jpg?width=122&height=122&type=crop,"広野紘と新藤景は幼馴染の間柄。紘はクリスマスの夜、景のパーティーに呼ばれていたが、ふとしたキッカケで宮村みやこと遭遇し、紘はマイペースなみやこに振り回されるはめに。
紘のクラスメイトで映研部員... ▼もっと読む"
16,とらドラ！（TVアニメ動画）,2008年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/2/1232/1232.jpg?width=122&height=122&type=crop,その目つきの鋭さ故、不良に見られてしまうことを気にしている高須竜児は高校2年に進級し、以前から好意を寄せていた櫛枝実乃梨と同じクラスになることができた。一方で、新しいクラスメイトの間にはびこる「... ▼もっと読む
17,CLANNAD [クラナド]（TVアニメ動画）,2007年秋アニメ,4.1,https://img.anikore.jp/images/anime/1/0/4/1104/1104.jpg?width=122&height=122&type=crop,"進学校に通う高校3年生の岡崎朋也は、無気力な毎日を送っている。毎日同じことの繰り返し。
周りのみんなのように学校生活を楽しむこともできず、毎日遅刻ばかり。
そのためか、校内では浮いた存在にな... ▼もっと読む"
18,花咲くいろは（TVアニメ動画）,2011年春アニメ,4.1,https://img.anikore.jp/images/anime/4/1/4/2414/2414.jpg?width=122&height=122&type=crop,突然の夜逃げ、突然の告白、そして突然の別れ――。今までとは違う自分になりたかったという夢は、急に現実となりました。私、松前緒花の平凡な日常は1日にしてドラマチックな展開を迎えたのです。通い慣れた... ▼もっと読む
19,境界の彼方（TVアニメ動画）,2013年秋アニメ,3.9,https://img.anikore.jp/images/anime/6/5/1/7651/7651.jpg?width=122&height=122&type=crop,神原秋人はある日の放課後、屋上から飛び降りそうな少女・栗山未来と出会う。未来は、異界士の中でも特異な呪われた血を持つ一族の最後の生き残りだった。たった一人生き残った少女と、半妖である秋人が出会っ... ▼もっと読む
20,うたわれるもの（TVアニメ動画）,2006年春アニメ,3.9,https://img.anikore.jp/51-FyeQjQiL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"ここではないどこか、今ではないいつか。
時は戦国時代。国は分かれ争い、民草が飢え苦しむ時代。ある山奥ののどかな辺境の村に、瀕死の怪我を負った男が運び込まれた。
彼は村人に助けられる以前の全て... ▼もっと読む"
