,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
0,3月のライオン 第2期（TVアニメ動画）,2017年秋アニメ,3.9,https://img.anikore.jp/images/anime/3/0/4/11304/11304.jpg?width=122&height=122&type=crop,"これは、様々な人間が
何かを取り戻していく、優しい物語。
そして、戦いの物語。

主人公・桐山零は、幼い頃に事故で家族を失い、
心に深い孤独を負う17歳のプロの将棋棋士。
東京の下町... ▼もっと読む"
1,ヴァイオレット・エヴァーガーデン（TVアニメ動画）,2018年冬アニメ,4.0,https://img.anikore.jp/images/anime/7/2/3/10723/10723.jpg?width=122&height=122&type=crop,"感情を持たない一人の少女がいた。
彼女の名は、ヴァイオレット・エヴァーガーデン。
戦火の中で、大切な人から告げられた言葉の意味を探している。
戦争が終わり、彼女が出会った仕事は誰かの想いを... ▼もっと読む"
2,クジラの子らは砂上に歌う（TVアニメ動画）,2017年秋アニメ,3.5,https://img.anikore.jp/images/anime/0/5/4/11054/11054.jpg?width=122&height=122&type=crop,"砂の海に覆われた世界を舞台とするファンタジー。

砂上を漂う巨大な船・泥クジラでは、サイミアと呼ばれる超能力を持つ代わりに短命な少年少女たちが暮らしていた。外の世界を知らないまま、泥クジラの... ▼もっと読む"
3,宇宙よりも遠い場所（TVアニメ動画）,2018年冬アニメ,4.2,https://img.anikore.jp/images/anime/3/9/3/11393/11393.jpg?width=122&height=122&type=crop,"いつだってボクらの一歩は好奇心から始まった。
見たことのない風景を、
聞いたことのない音を、
嗅いだことのない香りを、
触れたことのない質感を、
味わったことのない食物を、
そして感... ▼もっと読む"
4,ブラック・ブレット（TVアニメ動画）,2014年春アニメ,3.8,https://img.anikore.jp/images/anime/8/6/1/7861/7861.jpg?width=122&height=122&type=crop,突如、現れた異形の寄生生物「ガストレア」。赤く輝く目と圧倒的な力、そして桁外れの再生能力を持つ彼らの侵攻に、人類はなす術もなく大敗を喫する。国土の大半を失った現在、人類は彼らが唯一弱点とする金属... ▼もっと読む
5,いぬやしき（TVアニメ動画）,2017年秋アニメ,3.6,https://img.anikore.jp/images/anime/0/0/9/11009/11009.jpg?width=122&height=122&type=crop,"定年を間近に迎える冴えないサラリーマン・犬屋敷壱郎は会社や家庭から疎外された日々を送っていたが、ある日突然、医者から末期ガンによる余命宣告を受け自暴自棄になる。

その晩、突如飛来したUFO... ▼もっと読む"
6,進撃の巨人（TVアニメ動画）,2013年春アニメ,4.2,https://img.anikore.jp/images/anime/9/9/7/3997/3997.jpg?width=122&height=122&type=crop,突如現れた多数の巨大生物「巨人」の侵攻により、人類は存亡の危機に瀕する。生き残った人間達は、三重に築かれた巨大な城壁内側に生活圏を確保することで、一時的な安全を得るに至った。 城壁による平和を得... ▼もっと読む
7,僕だけがいない街（TVアニメ動画）,2016年冬アニメ,4.0,https://img.anikore.jp/images/anime/8/6/1/9861/9861.jpg?width=122&height=122&type=crop,"漫画家としてデビューするも、いまひとつ結果を出せず毎日を過ごす青年・藤沼悟。
彼は、彼の身にしか起こらない、ある不可思議な現象に不満を感じていた。
「再上映（リバイバル）」。
何か「悪い事... ▼もっと読む"
8,灰と幻想のグリムガル（TVアニメ動画）,2016年冬アニメ,3.8,https://img.anikore.jp/images/anime/1/8/9/10189/10189.jpg?width=122&height=122&type=crop,"薄暗い森の中、わずか2体のゴブリンを相手に苦戦を強いられている6人の少年少女がいた。
盗賊のハルヒロ、暗黒騎士のランタ、神官のマナト、戦士のモグゾー、狩人のユメ、魔法使いのシホル。
彼らには... ▼もっと読む"
9,メイドインアビス（TVアニメ動画）,2017年夏アニメ,4.2,https://img.anikore.jp/images/anime/0/3/5/11035/11035.jpg?width=122&height=122&type=crop,"隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。
どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。
... ▼もっと読む"
10,DEVILMAN crybaby[デビルマン クライベイビー]（Webアニメ）,2018年1月5日,3.9,https://img.anikore.jp/images/anime/4/1/2/11412/11412.jpg?width=122&height=122&type=crop,永井豪さん漫画家デビュー50周年を記念し、2018年に新作アニメとして蘇る『デビルマン』。タイトルを『DEVILMAN crybaby』とする本作は、「Netflix」にて全世界190カ国に、日... ▼もっと読む
11,ココロコネクト（TVアニメ動画）,2012年夏アニメ,4.0,https://img.anikore.jp/images/anime/5/0/0/3500/3500.jpg?width=122&height=122&type=crop,私立山星高校文化研究部内で次々と起こる実際ではあり得ない不思議な現象、＜ふうせんかずら＞による謎の企み、それにより主人公八重樫太一をはじめ永瀬、稲葉、桐山、青木の友情が成長していく。 ▼もっと読む
12,やはり俺の青春ラブコメはまちがっている。続（TVアニメ動画）,2015年春アニメ,4.0,https://img.anikore.jp/images/anime/3/9/3/8393/8393.jpg?width=122&height=122&type=crop,"青春は残酷だ!?　ひねくれ男の妄言ラブコメ

孤独に負けず。

友達もなく、彼女もなく。青春を謳歌するクラスメイトを見れば「あいつらは嘘つきだ。欺瞞だ。爆発しろ」とつぶやき、将来の夢は... ▼もっと読む"
13,エルフェンリート（TVアニメ動画）,2004年夏アニメ,3.8,https://img.anikore.jp/images/anime/6/6/8/668/668.jpg?width=122&height=122&type=crop,側頭部の対となる二本の角とベクターと呼ばれる特殊な能力を持つ女性型ミュータント、二角奇人（ディクロニウス）。彼女らは人類を淘汰する可能性を持つとされ、離島の国立生態科学研究所に国家レベルでの極秘... ▼もっと読む
14,GUNSLINGER GIRL [ガンスリンガーガール]（TVアニメ動画）,2003年秋アニメ,3.8,https://img.anikore.jp/images/anime/5/8/2/582/582.jpg?width=122&height=122&type=crop,舞台は現代（もしくは近未来）のヨーロッパ。イタリアの公益法人「社会福祉公社」は、政府の汚い仕事を代わりに行っている。その中でも作戦2課では現在表向きは障害を抱えた子供達を引き取って福祉事業に従事... ▼もっと読む
15,結城友奈は勇者である（TVアニメ動画）,2014年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/1/1/8211/8211.jpg?width=122&height=122&type=crop,"神世紀300年───
始まる”勇者部”活動！？
結城友奈は中学2年生。毎日学校へと通い、たくさんの友達に囲まれながら授業を受けたり、部活動をしたり、遊んだりと、平穏に過ごしている。その生活ス... ▼もっと読む"
16,終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？（TVアニメ動画）,2017年春アニメ,3.7,https://img.anikore.jp/images/anime/7/9/0/10790/10790.jpg?width=122&height=122&type=crop,《人間》は規格外の《獣》に蹂躙され、滅びた。たったひとり、数百年の眠りから覚めた青年ヴィレムを除いて。《人間》に代わり《獣》を倒しうるのは、《聖剣》（カリヨン）と、それを扱う妖精兵のみ。戦いのの... ▼もっと読む
17,3月のライオン（TVアニメ動画）,2016年秋アニメ,3.8,https://img.anikore.jp/images/anime/1/4/7/10147/10147.jpg?width=122&height=122&type=crop,主人公は、東京の下町に1人で暮らす17歳の将棋のプロ棋士・桐山零。深い孤独を抱える彼が、あかり・ひなた・モモの川本3姉妹と過ごす時間や、さまざまな棋士との対戦を経て、失ったものを少しずつ取り戻し... ▼もっと読む
18,91Days（ナイティーワンデイズ）（TVアニメ動画）,2016年夏アニメ,3.7,https://img.anikore.jp/images/anime/5/4/9/10549/10549.jpg?width=122&height=122&type=crop,ある誕生日の晩、少年の幸せな生活は突然終わりを迎えた。マフィアの抗争により、目の前で両親と弟を殺された少年アヴィリオ。7年後――差出人不明の一通 の手紙を読み、静かに嘲笑うアヴィリオ。その手紙を... ▼もっと読む
19,サクラダリセット（TVアニメ動画）,2017年春アニメ,3.4,https://img.anikore.jp/images/anime/8/7/5/10875/10875.jpg?width=122&height=122&type=crop,"住人の半数が特別な能力を持つ街、咲良田(さくらだ)。
能力者の監視を行う「管理局」の下、住人は平和に暮らしていた。
「目の前の人の涙を消したい」、「誰かに声を届けたい」。
... ▼もっと読む"
20,宝石の国（TVアニメ動画）,2017年秋アニメ,3.9,https://img.anikore.jp/images/anime/2/1/8/11218/11218.jpg?width=122&height=122&type=crop,宝石たちの中で最年少のフォスフォフィライトは、硬度三半とひときわ脆く、靭性も弱くて戦闘に向かない。また、他の仕事の適性もない。そのくせ口だけは一丁前という、まさに正真正銘の落ちこぼれだった。そん... ▼もっと読む
21,ソードアートオンラインⅡ（TVアニメ動画）,2014年夏アニメ,4.0,https://img.anikore.jp/images/anime/9/2/9/7929/7929.jpg?width=122&height=122&type=crop,《SAO》事件から一年が経ったある日、キリトは、総務省《仮想課》の菊岡誠二郎から奇妙な依頼を受ける。それは、銃と鋼鉄のVRMMO《ガンゲイル・オンライン(GGO)》で突如発生した... ▼もっと読む
22,新世界より（TVアニメ動画）,2012年秋アニメ,3.9,https://img.anikore.jp/images/anime/6/4/5/3645/3645.jpg?width=122&height=122&type=crop,渡辺早季は、閉鎖的だが穏やかな田舎町「神栖66町」で幸福に少女時代をおくった。ある日、町の外へ同級生たちと出かけて小型図書館端末ロボット「ミノシロモドキ」と出会う。質問することにより21世紀前半... ▼もっと読む
23,グリザイアの果実（TVアニメ動画）,2014年秋アニメ,3.8,https://img.anikore.jp/images/anime/0/6/9/8069/8069.jpg?width=122&height=122&type=crop,"──その学園は、少女達の果樹園だった。
外敵から隔離された学園にやってきたのは、生きる目的をなくした一人の少年。
守るべき物を見失い、後悔と贖罪のみに費やされる人生の中で、
その少年に残さ... ▼もっと読む"
24,極黒のブリュンヒルデ（TVアニメ動画）,2014年春アニメ,3.6,https://img.anikore.jp/images/anime/8/5/9/7859/7859.jpg?width=122&height=122&type=crop,子供の頃に事故で死なせてしまった幼なじみの女の子のことが忘れられない高校生・村上良太は、彼女との約束「宇宙人が存在することの証明」を果たすべく、天文部に在籍し毎日夜空を見上げ探し続けていた。ある... ▼もっと読む
25,ぼくらの（TVアニメ動画）,2007年春アニメ,3.7,https://img.anikore.jp/51m29jYAecL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,政財界の権力者たちは、「子供たちの契約を解く鍵を探す」という建前の元に、ジアースの技術を研究して産業や軍事に利用しようとする。子供の親たちは、子供を救う方向に世論を動かす為に、ジアースの情報公開... ▼もっと読む
26,妄想代理人（TVアニメ動画）,2004年冬アニメ,3.6,https://img.anikore.jp/images/anime/6/0/6/606/606.jpg?width=122&height=122&type=crop,"『妄想代理人』（もうそうだいりにん）は、マッドハウス製作の今敏監督によるアニメ作品。
疲れた現代社会を癒す人気キャラクター「マロミ」をデザインした鷺月子は、ある夜、通り魔少年バットに襲われた。... ▼もっと読む"
27,終末のイゼッタ（TVアニメ動画）,2016年秋アニメ,3.6,https://img.anikore.jp/images/anime/7/4/7/10747/10747.jpg?width=122&height=122&type=crop,西暦1939年、帝国主義国家ゲルマニア帝国は突如隣国に侵攻を開始した。その戦火は一気に欧州全域へと拡がり、時代は大戦の渦に巻き込まれていく。そして1940年、ゲルマニアはその矛先を美しい水と緑に... ▼もっと読む
28,うたわれるもの 偽りの仮面（TVアニメ動画）,2015年秋アニメ,3.6,https://img.anikore.jp/images/anime/7/9/5/9795/9795.jpg?width=122&height=122&type=crop,"目覚めたのは雪深き山間部。
過去も名も思い出せぬまま彷徨う男に、世界は優しくはなかった。
巨大な牙を持つ生物が襲い掛かり、闇に蠢く異形が男を追い詰める。
そんな男に差し出されたのは白く美し... ▼もっと読む"
29,正解するカド（TVアニメ動画）,2017年春アニメ,3.4,https://img.anikore.jp/images/anime/3/7/8/10378/10378.jpg?width=122&height=122&type=crop,羽田空港上空に突如、正体不明の巨大な立方体が出現する。そこに出発予定だった飛行機が取り込まれてしまう。偶然その飛行機に乗りあわせていた外務省の外交官が、立方体の中でヤハクイザシュクナと呼ばれる正... ▼もっと読む
30,十二大戦（TVアニメ動画）,2017年秋アニメ,3.4,https://img.anikore.jp/images/anime/1/3/9/11139/11139.jpg?width=122&height=122&type=crop,"誇り高き十二戦士の、血戦の記憶――

十二年に一度開催される第十二回の十二大戦。
干支の名を宿す十二人の猛きせんしが互いの命と魂を賭けて戦う。
参加者は子丑寅卯辰巳午未申酉戌亥の十二人、... ▼もっと読む"
31,クロックワーク・プラネット（TVアニメ動画）,2017年春アニメ,3.2,https://img.anikore.jp/images/anime/3/2/1/10321/10321.jpg?width=122&height=122&type=crop,"――唐突だが。世界はとっくに滅亡している。
1000年前に一度滅んだ地球を「Y」と名乗る伝説の時計技師が時計仕掛けで再構築した世界。
落ちこぼれの高校生・見浦ナオトは、「Y」が残した自動人形... ▼もっと読む"
32,アイドルマスター XENOGLOSSIA[ゼノグラシア]（TVアニメ動画）,2007年春アニメ,3.5,https://img.anikore.jp/images/anime/0/2/6/1026/1026.jpg?width=122&height=122&type=crop,物語の舞台となるのは、ロストアルテミスと呼ばれる月の崩壊から、約百年余り経過した復興歴107年の地球。そこには地球に降ってくる砕けた月のかけら(ドロップ)の被害を防ぐために活躍す... ▼もっと読む
33,やはり俺の青春ラブコメはまちがっている。（TVアニメ動画）,2013年春アニメ,4.1,https://img.anikore.jp/images/anime/9/9/4/3994/3994.jpg?width=122&height=122&type=crop,千葉市立総武高等学校に通う高校2年生の比企谷八幡は幼少時から友達ができず、その結果友達を作ることをあきらめて「ぼっち」を極めようとしていたが、生活指導担当の教師、平塚静に目をつけられ、学校一の美... ▼もっと読む
34,PSYCHO-PASS サイコパス（TVアニメ動画）,2012年秋アニメ,4.1,https://img.anikore.jp/images/anime/7/0/7/3707/3707.jpg?width=122&height=122&type=crop,人間の心理状態や性格的傾向を、即座に計測し数値化できるようになった世界。あらゆる感情、欲望、社会病質的心理傾向はすべて記録され、管理され、大衆は 「良き人生」 の指標として、その数値的な実現に躍... ▼もっと読む
35,未来日記（TVアニメ動画）,2011年秋アニメ,3.8,https://img.anikore.jp/images/anime/2/4/4/3244/3244.jpg?width=122&height=122&type=crop,"周囲に関わろうとせず""傍観者""であることを望む中学2年生の少年・天野雪輝は、見聞きした全てを携帯電話の日記に付けていた。友人と呼べるのは、時空王デウス・エクス・マキナと彼の小... ▼もっと読む"
36,COWBOY BEBOP - カウボーイビバップ（TVアニメ動画）,1998年春アニメ,4.2,https://img.anikore.jp/images/anime/2/5/8/258/258.jpg?width=122&height=122&type=crop,時は2071年、いっこうに減らない犯罪者達を捕らえるために「バウンティー・ハンター制度」が生まれた。賞金稼ぎのスパイクとジェットの2人が乗るビバップ号は、太陽系全域にまで拡大した人類の生活圏の中... ▼もっと読む
37,アルドノア・ゼロ（TVアニメ動画）,2014年夏アニメ,4.0,https://img.anikore.jp/images/anime/9/5/4/7954/7954.jpg?width=122&height=122&type=crop,火星の騎士たちが空から降ってくる。鋼で作られた巨人を駆って。地球人類を職滅するために。監督・あおきえい、ストーリー・虚淵玄のタッグで制作されるオリジナルTVアニメ。 ▼もっと読む
38,電脳コイル（TVアニメ動画）,2007年春アニメ,3.9,https://img.anikore.jp/51H4RPrqyIL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,今よりもちょっと未来…子供たちの間では街のどこからでもバーチャル世界＝コイルに接続できる電脳メガネが大流行していた。小此木優子(おこのぎ ゆうこ)は、小学校最後の夏休みを前に、父親の仕事の都合で... ▼もっと読む
39,残響のテロル（TVアニメ動画）,2014年夏アニメ,3.7,https://img.anikore.jp/images/anime/9/1/4/7914/7914.jpg?width=122&height=122&type=crop,ある夏の日──突然、東京を襲った大規模な爆弾テロ。平穏なこの国を眠りから覚ました事件の犯人は、たったふたりの少年だった──。〝スピンクス〟と名乗る犯人たちの、日本中を巻き込んだ壮大なゲームがいま... ▼もっと読む
40,アカメが斬る！（TVアニメ動画）,2014年夏アニメ,3.8,https://img.anikore.jp/51rHSkUjYeL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"帝都の悪を斬る非情の殺し屋集団ナイトレイド。
その一員である黒髪赤目の少女アカメ。彼らと出会った少年タツミは、ナイトレイドの一員として、帝都の悪に立ち向かうことを決意する……。 「つよきす」... ▼もっと読む"
41,アルドノア・ゼロ(第2期)（TVアニメ動画）,2015年冬アニメ,3.9,https://img.anikore.jp/images/anime/3/0/5/8305/8305.jpg?width=122&height=122&type=crop,西暦2016年、アセイラム姫暗殺事件から約1年半後。地球生まれでありながら火星騎士の地位を得たスレインは、専属の部下を従えて、地球軍との戦闘に参加していた。一方、新たな戦地へ赴くべく、修理を終え... ▼もっと読む
42,ef - a tale of melodies.（TVアニメ動画）,2008年秋アニメ,4.1,https://img.anikore.jp/images/anime/2/5/8/1258/1258.jpg?width=122&height=122&type=crop,天才美少女の広野凪にいつも振り回されている火村夕は、ある日、雨宮優子と言う不思議な少女と出会う。優子は夕の事を知っているようだが、彼女の事は夕の記憶には無かった。優子は、夕に不可解な言葉を残して... ▼もっと読む
43,がっこうぐらし！（TVアニメ動画）,2015年夏アニメ,3.7,https://img.anikore.jp/images/anime/1/8/5/8185/8185.jpg?width=122&height=122&type=crop,学校に寝泊まりしちゃおうという学園生活部。シャベルを愛する(？)くるみ、皆をまとめるりーさん、おっとりした顧問のめぐ姉らに囲まれた丈槍ゆきの瞳に映る幸せな“日常”はしかし……!?... ▼もっと読む
44,リトルバスターズ！ 〜Refrain〜（TVアニメ動画）,2013年秋アニメ,4.0,https://img.anikore.jp/images/anime/6/3/8/7638/7638.jpg?width=122&height=122&type=crop,"深く、どこまでも深く――。
理樹の意識は暗い闇へと沈んでいった。
壮絶な事態が進行する中で、理樹は何もすることができない無力感に苛まれた。
―なぜこんなことになってしまったのだろう―理樹は... ▼もっと読む"
45,半分の月がのぼる空（TVアニメ動画）,2006年冬アニメ,3.6,https://img.anikore.jp/51X61DP11RL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"ある病院を舞台に繰り広げられる、平凡な高校生と心臓病の少女との心の交流を描く。
高校2年の冬、突然の肝炎で入院することになった裕一。病状は回復し、病院を抜け出しては看護師に叱られる毎日。そんな... ▼もっと読む"
46,精霊の守り人（TVアニメ動画）,2007年春アニメ,4.1,https://img.anikore.jp/51%2B4sqEYKHL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,女用心棒のバルサはふとしたことから新ヨゴの第二皇子チャグムの護衛を依頼される。彼はその身に、この世（サグ）と重なって存在する異世界（ナユグ）の水の精霊ニュンガ・ロ・イム〈水の守り手〉の卵を宿して... ▼もっと読む
47,幼女戦記（TVアニメ動画）,2017年冬アニメ,3.9,https://img.anikore.jp/images/anime/4/3/8/10438/10438.jpg?width=122&height=122&type=crop,"統一暦1923年6月。
金髪碧眼の幼女、ターニャ・デグレチャフは帝国軍士官学校の最終課程、
部隊勤務の一環として北方軍管区ノルデン戦区の第三哨戒線で研修に励んでいた。
航空魔導師として輝か... ▼もっと読む"
48,SHUFFLE！ シャッフル（TVアニメ動画）,2005年夏アニメ,3.5,https://img.anikore.jp/51CQ9QRS5KL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"人間が生活する「人間界」に突然扉が現れ、神族が住む「神界」と魔族が住む「魔界」とが繋がって人間界に「魔法」がもたらされてから10年。
人族、神族、魔族の通う国立バーベナ学園に通うため、幼馴染み... ▼もっと読む"
49,天鏡のアルデラミン（TVアニメ動画）,2016年夏アニメ,3.7,https://img.anikore.jp/images/anime/1/6/3/10163/10163.jpg?width=122&height=122&type=crop,隣接するキオカ共和国と戦争状態にある大国、カトヴァーナ帝国。その片隅で高等士官試験を受けていたイクタ・ソロークは、戦争嫌いの怠け者で女好きという、軍人とはかけ離れた人物。そんなイクタ・ソロークが... ▼もっと読む
